"","address","countyfips","county","charter","city","distcode","district","highest","lowest","phone","schoolcode","school","setting","state","type","fips","zip","content","proficiency"
"319","12400 EAST JEWELL AVENUE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","12th Grade","9th Grade",7207473700,6625,"OVERLAND HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",21.9
"320","12400 EAST JEWELL AVENUE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","12th Grade","9th Grade",7207473700,6625,"OVERLAND HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",32.05
"321","19451 EAST PROGRESS CIRCLE",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863100,6820,"PEAKVIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",58.7333333333333
"322","19451 EAST PROGRESS CIRCLE",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863100,6820,"PEAKVIEW ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",47.5333333333333
"323","6525 S. WHEATLANDS PARKWAY",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208868800,6955,"PINE RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80016,"ELA",65.2333333333333
"324","6525 S. WHEATLANDS PARKWAY",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208868800,6955,"PINE RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80016,"Math",56
"325","2985 SOUTH OAKLAND STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7207472600,7102,"POLTON COMMUNITY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80014,"ELA",43.1
"326","2985 SOUTH OAKLAND STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7207472600,7102,"POLTON COMMUNITY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80014,"Math",27.5
"327","1885 SOUTH LIMA STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7207472800,7116,"PONDEROSA ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",33.3666666666667
"328","1885 SOUTH LIMA STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7207472800,7116,"PONDEROSA ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",22.9666666666667
"329","12600 EAST JEWELL AVENUE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","8th Grade","6th Grade",7207473000,7158,"PRAIRIE MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",29.9333333333333
"330","12600 EAST JEWELL AVENUE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","8th Grade","6th Grade",7207473000,7158,"PRAIRIE MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",31
"331","16251 E GEDDES AVENUE",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863800,7277,"RED HAWK RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80112,"ELA",47.4666666666667
"332","16251 E GEDDES AVENUE",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863800,7277,"RED HAWK RIDGE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80112,"Math",33.9
"333","5756 SOUTH BISCAY CIRCLE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863400,7476,"ROLLING HILLS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",65.7666666666667
"334","5756 SOUTH BISCAY CIRCLE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863400,7476,"ROLLING HILLS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",62.1666666666667
"335","14700 EAST TEMPLE PLACE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208868300,7559,"SAGEBRUSH ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",42.3333333333333
"336","14700 EAST TEMPLE PLACE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208868300,7559,"SAGEBRUSH ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",33.3666666666667
"337","4500 S HIMALAYA STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","8th Grade","6th Grade",7208864711,141,"SKY VISTA MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",48.6666666666667
"338","4500 S HIMALAYA STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","8th Grade","6th Grade",7208864711,141,"SKY VISTA MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",41.275
"339","16100 EAST SMOKY HILL ROAD",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","12th Grade","9th Grade",7208865300,8020,"SMOKY HILL HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",46.95
"340","18201 EAST QUINCY AVE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208866400,8380,"SUMMIT ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",35.2333333333333
"341","18201 EAST QUINCY AVE",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208866400,8380,"SUMMIT ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",29.8666666666667
"342","4050 SOUTH GENOA WAY",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208862900,8394,"SUNRISE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80013,"ELA",34.1333333333333
"343","4050 SOUTH GENOA WAY",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7208862900,8394,"SUNRISE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80013,"Math",32.3
"344","5250 SOUTH PICADILLY STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","8th Grade","6th Grade",7208861500,8848,"THUNDER RIDGE MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",43.0666666666667
"345","5250 SOUTH PICADILLY STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","8th Grade","6th Grade",7208861500,8848,"THUNDER RIDGE MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",52.975
"346","5500 SOUTH KILLARNEY STREET",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863200,8850,"TIMBERLINE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",57.4333333333333
"347","5500 SOUTH KILLARNEY STREET",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208863200,8850,"TIMBERLINE ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",49.7333333333333
"348","5400 SOUTH WACO STREET",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208868500,8887,"TRAILS WEST ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"ELA",47.7
"349","5400 SOUTH WACO STREET",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7208868500,8887,"TRAILS WEST ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80015,"Math",42.9
"350","1433 SOUTH OAKLAND STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7207472000,9108,"VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",26.3
"351","1433 SOUTH OAKLAND STREET",5,"ARAPAHOE","N","AURORA",130,"CHERRY CREEK 5","5th Grade","Preschool",7207472000,9108,"VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",18.4
"352","8195 EAST COSTILLA BOULEVARD",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7205543800,9200,"WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80112,"ELA",65.9
"353","8195 EAST COSTILLA BOULEVARD",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7205543800,9200,"WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80112,"Math",51.0333333333333
"354","5151 SOUTH HOLLY",5,"ARAPAHOE","N","GREENWOOD VILLAGE",130,"CHERRY CREEK 5","8th Grade","6th Grade",7205545100,1568,"WEST MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",58.5
"355","5151 SOUTH HOLLY",5,"ARAPAHOE","N","GREENWOOD VILLAGE",130,"CHERRY CREEK 5","8th Grade","6th Grade",7205545100,1568,"WEST MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",68.5
"356","7855 SOUTH WILLOW WAY",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7205543900,9624,"WILLOW CREEK ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80112,"ELA",69.9333333333333
"357","7855 SOUTH WILLOW WAY",5,"ARAPAHOE","N","CENTENNIAL",130,"CHERRY CREEK 5","5th Grade","Preschool",7205543900,9624,"WILLOW CREEK ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80112,"Math",74.3666666666667
"358","2201 EAST DRY CREEK ROAD",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","12th Grade","9th Grade",3033476000,298,"ARAPAHOE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"ELA",63.7
"359","2201 EAST DRY CREEK ROAD",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","12th Grade","9th Grade",3033476000,298,"ARAPAHOE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"Math",67.8666666666667
"360","3306 WEST BERRY AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474425,1382,"CENTENNIAL ACADEMY OF FINE ARTS EDUCATION","Denver Metro","CO","Public School Physical Address",8005,80123,"ELA",46.1333333333333
"361","3306 WEST BERRY AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474425,1382,"CENTENNIAL ACADEMY OF FINE ARTS EDUCATION","Denver Metro","CO","Public School Physical Address",8005,80123,"Math",37.5
"362","5933 SOUTH FAIRFIELD STREET",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474450,2382,"EAST ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",40.4
"363","5933 SOUTH FAIRFIELD STREET",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474450,2382,"EAST ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",34.6
"364","777 WEST EUCLID AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","8th Grade","6th Grade",3033477800,2804,"EUCLID MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",62.1666666666667
"365","777 WEST EUCLID AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","8th Grade","6th Grade",3033477800,2804,"EUCLID MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",53.7
"366","5402 SOUTH SHERMAN WAY",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474475,2926,"FIELD ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",28.0666666666667
"367","5402 SOUTH SHERMAN WAY",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474475,2926,"FIELD ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",29.4333333333333
"368","1603 EAST EUCLID AVE",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474500,752,"FRANKLIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",68.2333333333333
"369","1603 EAST EUCLID AVE",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474500,752,"FRANKLIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",61.8
"370","3800 WEST BERRY AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","8th Grade","6th Grade",3033477850,3472,"GODDARD MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80123,"ELA",50.8666666666667
"371","3800 WEST BERRY AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","8th Grade","6th Grade",3033477850,3472,"GODDARD MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80123,"Math",56.175
"372","1401 WEST GEDDES AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","12th Grade","9th Grade",3033477600,3930,"HERITAGE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",54.2
"373","1401 WEST GEDDES AVENUE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","12th Grade","9th Grade",3033477600,3930,"HERITAGE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",59.6
"374","711 EAST EUCLID AVENUE",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Preschool",3033474525,3950,"HIGHLAND ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",65.3
"375","711 EAST EUCLID AVENUE",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Preschool",3033474525,3950,"HIGHLAND ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",61.0333333333333
"376","7171 SOUTH PENNSYLVANIA STREET",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Preschool",3033474550,5572,"HOPKINS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"ELA",61.6333333333333
"377","7171 SOUTH PENNSYLVANIA STREET",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Preschool",3033474550,5572,"HOPKINS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"Math",52.8666666666667
"378","8000 SOUTH CORONA WAY",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","8th Grade","6th Grade",3033477850,4447,"JOHN WESLEY POWELL MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"ELA",70.3
"379","8000 SOUTH CORONA WAY",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","8th Grade","6th Grade",3033477850,4447,"JOHN WESLEY POWELL MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"Math",58.575
"380","1200 WEST MINERAL AVENUE",5,"ARAPAHOE","Y","LITTLETON",140,"LITTLETON 6","8th Grade","Kindergarten",3037985252,5229,"LITTLETON ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",74.7666666666667
"381","1200 WEST MINERAL AVENUE",5,"ARAPAHOE","Y","LITTLETON",140,"LITTLETON 6","8th Grade","Kindergarten",3037985252,5229,"LITTLETON ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",55.6333333333333
"382","199 EAST LITTLETON BLVD",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","12th Grade","9th Grade",3033477700,5224,"LITTLETON HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",45.8
"383","199 EAST LITTLETON BLVD",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","12th Grade","9th Grade",3033477700,5224,"LITTLETON HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",46.1
"384","5301 S. BANNOCK ST.",5,"ARAPAHOE","Y","LITTLETON",140,"LITTLETON 6","8th Grade","Preschool",3037341995,5233,"LITTLETON PREP CHARTER SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",55.7833333333333
"385","5301 S. BANNOCK ST.",5,"ARAPAHOE","Y","LITTLETON",140,"LITTLETON 6","8th Grade","Preschool",3037341995,5233,"LITTLETON PREP CHARTER SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",45.95
"386","6350 SOUTH FAIRFAX WAY",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474575,5236,"LOIS LENSKI ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",77.8333333333333
"387","6350 SOUTH FAIRFAX WAY",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474575,5236,"LOIS LENSKI ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",74.2333333333333
"388","6390 SOUTH WINDERMERE STREET",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Preschool",3033474600,8064,"MOODY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",44.5333333333333
"389","6390 SOUTH WINDERMERE STREET",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Preschool",3033474600,8064,"MOODY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",41.3666666666667
"390","4001 EAST ARAPAHOE ROAD",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","8th Grade","6th Grade",3033477900,4316,"NEWTON MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"ELA",63.2666666666667
"391","4001 EAST ARAPAHOE ROAD",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","8th Grade","6th Grade",3033477900,4316,"NEWTON MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"Math",63.9
"392","3128 EAST MAPLEWOOD AVENUE",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Preschool",3033474625,6814,"PEABODY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"ELA",63.5
"393","3128 EAST MAPLEWOOD AVENUE",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Preschool",3033474625,6814,"PEABODY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80121,"Math",58.6333333333333
"394","7455 SOUTH ELATI STREET",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474650,7518,"RUNYON ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"ELA",77.9666666666667
"395","7455 SOUTH ELATI STREET",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Kindergarten",3033474650,7518,"RUNYON ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80120,"Math",63.0666666666667
"396","6900 SOUTH ELIZABETH STREET",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474675,7606,"SANDBURG ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"ELA",67.5
"397","6900 SOUTH ELIZABETH STREET",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474675,7606,"SANDBURG ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"Math",59.6333333333333
"398","6901 SOUTH FRANKLIN STREET",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474700,5574,"TWAIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"ELA",45.1666666666667
"399","6901 SOUTH FRANKLIN STREET",5,"ARAPAHOE","N","CENTENNIAL",140,"LITTLETON 6","5th Grade","Kindergarten",3033474700,5574,"TWAIN ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80122,"Math",45.2333333333333
"400","4300 WEST PONDS CIRCLE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Preschool",3033474750,9600,"WILDER ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80123,"ELA",77.7
"401","4300 WEST PONDS CIRCLE",5,"ARAPAHOE","N","LITTLETON",140,"LITTLETON 6","5th Grade","Preschool",3033474750,9600,"WILDER ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80123,"Math",70.3666666666667
"402","1650 ALTURA BLVD",1,"ADAMS","N","AURORA",180,"ADAMS-ARAPAHOE 28J","5th Grade","Preschool",3033403500,214,"ALTURA ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80011,"ELA",9.5
"403","1650 ALTURA BLVD",1,"ADAMS","N","AURORA",180,"ADAMS-ARAPAHOE 28J","5th Grade","Preschool",3033403500,214,"ALTURA ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80011,"Math",7.05
"404","17301 EAST ARKANSAS AVE",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","5th Grade","Preschool",3037550323,310,"ARKANSAS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80017,"ELA",19.8333333333333
"405","17301 EAST ARKANSAS AVE",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","5th Grade","Preschool",3037550323,310,"ARKANSAS ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80017,"Math",14.3666666666667
"406","10251 EAST 1ST AVE",5,"ARAPAHOE","Y","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Kindergarten",3033675983,458,"AURORA ACADEMY CHARTER SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80010,"ELA",42.9166666666667
"407","10251 EAST 1ST AVE",5,"ARAPAHOE","Y","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Kindergarten",3033675983,458,"AURORA ACADEMY CHARTER SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80010,"Math",32.2833333333333
"408","11700 EAST 11TH AVE",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","12th Grade","9th Grade",3033401600,1458,"AURORA CENTRAL HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80010,"ELA",11.8
"409","11700 EAST 11TH AVE",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","12th Grade","9th Grade",3033401600,1458,"AURORA CENTRAL HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80010,"Math",18.3
"410","3200 S JERICHO WAY",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Preschool",3036931995,465,"AURORA FRONTIER K-8","Denver Metro","CO","Public School Physical Address",8005,80013,"ELA",53.1333333333333
"411","3200 S JERICHO WAY",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Preschool",3036931995,465,"AURORA FRONTIER K-8","Denver Metro","CO","Public School Physical Address",8005,80013,"Math",40.2833333333333
"412","1009 SOUTH UVALDA ST",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","6th Grade",3033417450,464,"AURORA HILLS MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",16.1
"413","1009 SOUTH UVALDA ST",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","6th Grade",3033417450,464,"AURORA HILLS MIDDLE SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",13.1333333333333
"414","472 SOUTH WHEELING ST",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Kindergarten",3033433664,7232,"AURORA QUEST K-8","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",93.2166666666667
"415","472 SOUTH WHEELING ST",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Kindergarten",3033433664,7232,"AURORA QUEST K-8","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",87.0166666666667
"416","10100 EAST 13TH AVE",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","12th Grade","6th Grade",3033662671,9396,"AURORA WEST COLLEGE PREPARATORY ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80010,"ELA",19.075
"417","10100 EAST 13TH AVE",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","12th Grade","6th Grade",3033662671,9396,"AURORA WEST COLLEGE PREPARATORY ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80010,"Math",7.175
"418","14100 EAST JEWELL AVENUE",5,"ARAPAHOE","Y","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Preschool",3033770758,213,"AXL ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80012,"ELA",25.6833333333333
"419","14100 EAST JEWELL AVENUE",5,"ARAPAHOE","Y","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Preschool",3033770758,213,"AXL ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80012,"Math",8
"420","1365 JAMAICA STREET",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Preschool",3033646878,914,"BOSTON K-8 SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80010,"ELA",21.8
"421","1365 JAMAICA STREET",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","8th Grade","Preschool",3033646878,914,"BOSTON K-8 SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80010,"Math",15.5
"422","2500 SOUTH GRANBY WAY",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","5th Grade","Preschool",3037454424,1470,"CENTURY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80014,"ELA",24.2333333333333
"423","2500 SOUTH GRANBY WAY",5,"ARAPAHOE","N","AURORA",180,"ADAMS-ARAPAHOE 28J","5th Grade","Preschool",3037454424,1470,"CENTURY ELEMENTARY SCHOOL","Denver Metro","CO","Public School Physical Address",8005,80014,"Math",12.7333333333333
