address,countyfips,county,charter,city,distcode,district,highest,lowest,phone,schoolcode,name,setting,state,type,fips,zip
1400 S OLD TOM MORRIS ROAD,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,8th Grade,Preschool,3033660579,6189,MURPHY CREEK K-8 SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80018
12095 MONTVIEW BLVD,1,ADAMS,N,AURORA,180,ADAMS-ARAPAHOE 28J,8th Grade,6th Grade,3033647411,6310,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY CAMPUS,Denver Metro,CO,Public School Physical Address,8001,80010
11351 E. MONTVIEW BLVD,1,ADAMS,N,AURORA,180,ADAMS-ARAPAHOE 28J,12th Grade,Kindergarten,3033400666,6546,OPTIONS SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80010
1635 PARIS ST,1,ADAMS,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033411702,6728,PARIS ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80010
13001 EAST 30TH AVE,1,ADAMS,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033438313,6758,PARK LANE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80011
875 PEORIA ST,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033400770,6869,PEORIA ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80011
17599 EAST ILIFF AVE,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,12th Grade,9th Grade,3036956848,7250,RANGEVIEW HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80013
10455 EAST 25TH AVENUE,1,ADAMS,Y,AURORA,180,ADAMS-ARAPAHOE 28J,Preschool,Preschool,7208638920,7233,ROCKY MOUNTAIN PREP - FLETCHER CAMPUS,Denver Metro,CO,Public School Physical Address,8001,80010
2601 SABLE BLVD,1,ADAMS,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033403140,7558,SABLE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80011
19191 EAST ILIFF PL,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3037551785,7865,SIDE CREEK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80013
560 VAUGHN ST,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033666019,7932,SIXTH AVENUE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80011
12310 EAST PARKVIEW DR,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,8th Grade,6th Grade,3033647623,8078,SOUTH MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80011
701 SOUTH KALISPELL WAY,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Kindergarten,3036960944,8858,TOLLGATE ELEMENTARY SCHOOL OF EXPEDITIONARY LEARNING,Denver Metro,CO,Public School Physical Address,8005,80017
17101 EAST OHIO DRIVE,5,ARAPAHOE,Y,AURORA,180,ADAMS-ARAPAHOE 28J,12th Grade,Kindergarten,3036912384,9189,VANGUARD CLASSICAL SCHOOL - EAST,Denver Metro,CO,Public School Physical Address,8005,80017
801 YOSEMITE STREET,31,DENVER,Y,DENVER,180,ADAMS-ARAPAHOE 28J,8th Grade,Kindergarten,3036912384,9056,VANGUARD CLASSICAL SCHOOL - WEST,Denver Metro,CO,Public School Physical Address,8031,80230
18101 EAST VASSAR AVE,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3037523772,9059,VASSAR ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80013
1155 VAUGHN ST,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033668430,9060,VAUGHN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80011
395 SOUTH TROY ST,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033669594,9140,VIRGINIA COURT ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80012
24500  EAST 6th AVENUE,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,12th Grade,9th Grade,3033400121,9125,VISTA PEAK 9-12 PREPARATORY,Denver Metro,CO,Public School Physical Address,8005,80018
24551 EAST 1ST AVENUE,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,8th Grade,Preschool,3033643757,9083,VISTA PEAK P-8 EXPLORATORY,Denver Metro,CO,Public School Physical Address,8005,80018
472 SOUTH WHEELING ST,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3033448670,9514,WHEELING ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80012
400 AIRPORT BLVD,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,12th Grade,9th Grade,3033648715,8356,WILLIAM SMITH HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80011
16001 EAST YALE AVE,5,ARAPAHOE,N,AURORA,180,ADAMS-ARAPAHOE 28J,5th Grade,Preschool,3037517470,9756,YALE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8005,80013
444 EAST FRONT STREET,5,ARAPAHOE,N,BYERS,190,BYERS 32J,6th Grade,Preschool,3038225292,1168,BYERS ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8005,80103
444 EAST FRONT STREET,5,ARAPAHOE,N,BYERS,190,BYERS 32J,12th Grade,7th Grade,3038225292,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,Remote,CO,Public School Physical Address,8005,80103
1526 COLE BOULEVARD SUITE 200,59,JEFFERSON,Y,LAKEWOOD,190,BYERS 32J,6th Grade,Kindergarten,3032554650,6241,COLORADO DIGITAL ACADEMY - ELEMENTARY,Remote,CO,Public School Physical Address,8059,80401
1526 COLE BOULEVARD SUITE 200,59,JEFFERSON,Y,LAKEWOOD,190,BYERS 32J,8th Grade,7th Grade,3032554650,6263,COLORADO DIGITAL ACADEMY - MIDDLE,Remote,CO,Public School Physical Address,8059,80401
"11990 GRANT STREET, #402",1,ADAMS,Y,NORTHGLENN,190,BYERS 32J,12th Grade,9th Grade,3032554650,1752,COLORADO VIRTUAL ACADEMY (COVA),Remote,CO,Public School Physical Address,8001,80233
1526 COLE BOULEVARD SUITE 200,59,JEFFERSON,Y,LAKEWOOD,190,BYERS 32J,12th Grade,Kindergarten,3032554650,2356,ELEVATE ACADEMY,Remote,CO,Public School Physical Address,8059,80401
444 EAST FRONT STREET,5,ARAPAHOE,N,BYERS,190,BYERS 32J,12th Grade,Kindergarten,3038225292,3362,VALIANT ACADEMY,Remote,CO,Public School Physical Address,8005,80103
141 SOUTH 10TH STREET,7,ARCHULETA,N,PAGOSA SPRINGS,220,ARCHULETA COUNTY 50 JT,4th Grade,Kindergarten,9702642229,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,Outlying Town,CO,Public School Physical Address,8007,81147
800 SOUTH 8TH STREET,7,ARCHULETA,N,PAGOSA SPRINGS,220,ARCHULETA COUNTY 50 JT,12th Grade,9th Grade,9702642231,6658,PAGOSA SPRINGS HIGH SCHOOL,Outlying Town,CO,Public School Physical Address,8007,81147
309 LEWIS STREET,7,ARCHULETA,N,PAGOSA SPRINGS,220,ARCHULETA COUNTY 50 JT,8th Grade,5th Grade,9702642794,6657,PAGOSA SPRINGS MIDDLE SCHOOL,Outlying Town,CO,Public School Physical Address,8007,81147
301 WEST POPLAR,9,BACA,N,WALSH,230,WALSH RE-1,6th Grade,Preschool,7193245400,9222,WALSH ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8009,81090
300 CALIFORNIA STREET,9,BACA,N,WALSH,230,WALSH RE-1,12th Grade,7th Grade,7193245221,9226,WALSH HIGH SCHOOL,Remote,CO,Public School Physical Address,8009,81090
533 IRVING STREET,9,BACA,N,PRITCHETT,240,PRITCHETT RE-3,5th Grade,Preschool,7195234045,7174,PRITCHETT ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8009,81064
533 IRVING STREET,9,BACA,N,PRITCHETT,240,PRITCHETT RE-3,12th Grade,9th Grade,7195234045,7180,PRITCHETT HIGH SCHOOL,Remote,CO,Public School Physical Address,8009,81064
533 IRVING STREET,9,BACA,N,PRITCHETT,240,PRITCHETT RE-3,8th Grade,6th Grade,7195234045,7176,PRITCHETT MIDDLE SCHOOL,Remote,CO,Public School Physical Address,8009,81064
389 TIPTON STREET,9,BACA,N,SPRINGFIELD,250,SPRINGFIELD RE-4,6th Grade,Preschool,7195234391,8160,SPRINGFIELD ELEMENTARY SCHOOL,Outlying Town,CO,Public School Physical Address,8009,81073
389 TIPTON STREET,9,BACA,N,SPRINGFIELD,250,SPRINGFIELD RE-4,12th Grade,7th Grade,7195236522,8168,SPRINGFIELD JUNIOR/SENIOR HIGH SCHOOL,Outlying Town,CO,Public School Physical Address,8009,81073
202 COLLINGWOOD ST,9,BACA,N,VILAS,260,VILAS RE-5,6th Grade,Preschool,7195236738,9090,VILAS ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8009,81087
202 COLLINGWOOD ST,9,BACA,N,VILAS,260,VILAS RE-5,12th Grade,7th Grade,7195236738,9100,VILAS UNDIVIDED HIGH SCHOOL,Remote,CO,Public School Physical Address,8009,81087
480 MAPLE STREET,9,BACA,N,CAMPO,270,CAMPO RE-6,5th Grade,Preschool,7197872226,1248,CAMPO ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8009,81029
480 MAPLE STREET,9,BACA,N,CAMPO,270,CAMPO RE-6,12th Grade,6th Grade,7197872226,1252,CAMPO UNDIVIDED HIGH SCHOOL,Remote,CO,Public School Physical Address,8009,81029
107 WEST 11TH STREET,101,PUEBLO,N,PUEBLO,290,LAS ANIMAS RE-1,12th Grade,6th Grade,8556953354,443,AIM GLOBAL,Outlying Town,CO,Public School Physical Address,8101,81003
107 WEST 11TH STREET,101,PUEBLO,N,PUEBLO,290,LAS ANIMAS RE-1,12th Grade,6th Grade,8556953354,4279,IMMERSION SCHOOLS SCIENCE TECHNOLOGY ARTS,Outlying Town,CO,Public School Physical Address,8101,81003
530 POPLAR AVENUE,11,BENT,N,LAS ANIMAS,290,LAS ANIMAS RE-1,Preschool,Preschool,7194561990,4495,JUMP START LEARNING CENTER,Outlying Town,CO,Public School Physical Address,8011,81054
530 POPLAR AVENUE,11,BENT,N,LAS ANIMAS,290,LAS ANIMAS RE-1,6th Grade,Kindergarten,7194561862,1812,LAS ANIMAS ELEMENTARY SCHOOL,Outlying Town,CO,Public School Physical Address,8011,81054
300 GROVE AVENUE,11,BENT,N,LAS ANIMAS,290,LAS ANIMAS RE-1,12th Grade,9th Grade,7194560211,4990,LAS ANIMAS HIGH SCHOOL,Outlying Town,CO,Public School Physical Address,8011,81054
1021 2ND STREET,11,BENT,N,LAS ANIMAS,290,LAS ANIMAS RE-1,8th Grade,7th Grade,7194560228,4986,LAS ANIMAS JUNIOR HIGH SCHOOL,Outlying Town,CO,Public School Physical Address,8011,81054
308 LINCOLN STREET,11,BENT,N,MC CLAVE,310,MC CLAVE RE-2,6th Grade,Preschool,7198294517,5666,MC CLAVE ELEMENTARY SCHOOL,Remote,CO,Public School Physical Address,8011,81057
308 LINCOLN STREET,11,BENT,N,MC CLAVE,310,MC CLAVE RE-2,12th Grade,7th Grade,7198294517,5670,MC CLAVE UNDIVIDED HIGH SCHOOL,Remote,CO,Public School Physical Address,8011,81057
2005 ALPINE STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206528140,61,ALPINE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
4600 CLOVER BASIN DRIVE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,7204943980,226,ALTONA MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
7845 LOOKOUT ROAD,13,BOULDER,N,NIWOT,470,ST VRAIN VALLEY RE 1J,12th Grade,Kindergarten,3039442050,120,APEX HOME SCHOOL ENRICHMENT PROGRAM,Denver Metro,CO,Public School Physical Address,8013,80503
705 AUSTIN AVENUE,123,WELD,Y,ERIE,470,ST VRAIN VALLEY RE 1J,7th Grade,Kindergarten,7202426225,71,ASPEN RIDGE PREPARATORY SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80516
2000 MOUNTAIN VIEW BLVD,123,WELD,N,ERIE,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7208903995,875,BLACK ROCK ELEMENTARY,Denver Metro,CO,Public School Physical Address,8123,80516
1260 MOUNTAIN DRIVE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206528220,878,BLUE MOUNTAIN ELEMENTARY,Denver Metro,CO,Public School Physical Address,8013,80503
1051 S. PRATT PARKWAY,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037768861,1148,BURLINGTON ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
4040 CORIOLIS WAY,123,WELD,Y,FREDERICK,470,ST VRAIN VALLEY RE 1J,8th Grade,Preschool,3037749555,1284,CARBON VALLEY ACADEMY,Denver Metro,CO,Public School Physical Address,8123,80530
10290 NEIGHBORS PARKWAY,123,WELD,N,FIRESTONE,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206528240,1245,CENTENNIAL ELEMENTARY,Denver Metro,CO,Public School Physical Address,8123,80504
1020 4TH AVENUE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037763236,1434,CENTRAL ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
6201 BOOTH DRIVE,123,WELD,N,FIRESTONE,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,3038334176,3194,COAL RIDGE MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80504
111 LONGS PEAK AVENUE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037762840,1844,COLUMBINE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
4444 CLOVER BASIN DRIVE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3034856073,2343,EAGLE CREST ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
4137 E COUNTY LINE RD.,13,BOULDER,N,ERIE,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3038283395,2758,ERIE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80516
3180 COUNTY ROAD 5,123,WELD,N,ERIE,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,3038284213,2761,ERIE HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80516
650 MAIN STREET,123,WELD,N,ERIE,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,3038283391,2760,ERIE MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80516
1400 DEERWOOD DRIVE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206527920,2912,FALL RIVER ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
1841 LEFT HAND CIRCLE,13,BOULDER,Y,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,Preschool,3036517900,2964,FLAGSTAFF CHARTER ACADEMY,Denver Metro,CO,Public School Physical Address,8013,80501
600 5TH STREET,123,WELD,N,FREDERICK,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,3038333533,3196,FREDERICK SENIOR HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80530
11968 N. 75TH STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206528021,4202,HYGIENE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
5753 TWILIGHT AVENUE,123,WELD,Y,FIRESTONE,470,ST VRAIN VALLEY RE 1J,8th Grade,Preschool,3037723711,4333,IMAGINE CHARTER,Denver Metro,CO,Public School Physical Address,8123,80504
1335 SOUTH JUDSON,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037727240,4278,INDIAN PEAKS ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
7701 EAGLE BOULEVARD,123,WELD,N,FREDERICK,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206528160,60,LEGACY ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80504
1601 NORTHWESTERN ROAD,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7206528101,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
1040 SUNSET STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,3037766014,5282,LONGMONT HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
1500 14TH AVENUE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,5th Grade,3037765611,5288,LONGS PEAK MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
338 HIGH STREET,13,BOULDER,N,LYONS,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3038236915,5364,LYONS ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80540
100 SOUTH 2ND AVENUE,13,BOULDER,N,LYONS,470,ST VRAIN VALLEY RE 1J,12th Grade,6th Grade,3038236631,5368,LYONS MIDDLE/SENIOR HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80540
520 WELKER AVE.,123,WELD,N,MEAD,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,9705354488,5726,MEAD ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80542
12750 COUNTY ROAD #7,123,WELD,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,7204943940,5722,MEAD HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80504
620 WELKER AVE.,123,WELD,N,MEAD,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,9705354446,5730,MEAD MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80542
1415  14TH STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,4th Grade,Preschool,7206528261,6156,MOUNTAIN VIEW ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
8778 MORTON ROAD,13,BOULDER,N,NIWOT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3036522828,6274,NIWOT ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
8989 E. NIWOT ROAD,13,BOULDER,N,NIWOT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,3036522550,6276,NIWOT HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
1200  19TH AVENUE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037723040,6404,NORTHRIDGE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
1200 SOUTH SUNSET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,7204943961,6498,OLDE COLUMBINE HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
6632 ST VRAIN RANCH BOULEVARD,123,WELD,N,FIRESTONE,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,7204943641,7157,PRAIRIE RIDGE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8123,80504
1500 TELLEEN AVE.,13,BOULDER,N,ERIE,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037742700,5181,RED HAWK ELEMENTARY,Denver Metro,CO,Public School Physical Address,8013,80516
800 EAST 5TH,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037726750,7464,ROCKY MOUNTAIN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
2235 VIVIAN STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,5th Grade,Preschool,3037723838,7584,SANBORN ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
4901 NELSON ROAD,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,7204943721,7789,SILVER CREEK HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
600 EAST MOUNTAIN VIEW,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,7204943741,7954,SKYLINE HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
555 8TH STREET,123,WELD,N,FREDERICK,470,ST VRAIN VALLEY RE 1J,Preschool,Preschool,7204943820,7561,SPARK! DISCOVERY PRESCHOOL,Denver Metro,CO,Public School Physical Address,8123,80530
1067 SOUTH HOVER ST PMB E235,13,BOULDER,Y,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,Preschool,3036824339,7565,ST. VRAIN COMMUNITY MONTESSORI SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
1200 SOUTH SUNSET STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,3035918627,7839,ST. VRAIN GLOBAL ONLINE ACADEMY,Denver Metro,CO,Public School Physical Address,8013,80501
1200 SOUTH SUNSET STREET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,9th Grade,7204943969,1221,ST. VRAIN VALLEY P-TECH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
1300 S. SUNSET,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,3037763963,5286,SUNSET MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
555 8TH STREET,123,WELD,N,FREDERICK,470,ST VRAIN VALLEY RE 1J,8th Grade,Preschool,3038332456,3192,THUNDER VALLEY PK-8,Denver Metro,CO,Public School Physical Address,8123,80530
233 EAST MOUNTAIN VIEW AVENUE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,Preschool,3037723900,6010,TIMBERLINE PK-8,Denver Metro,CO,Public School Physical Address,8013,80504
1000 BUTTON ROCK DRIVE,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,7204943820,8903,TRAIL RIDGE MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80501
340 SOUTH SUNSET STREET,13,BOULDER,Y,LONGMONT,470,ST VRAIN VALLEY RE 1J,12th Grade,Kindergarten,3037727286,8927,TWIN PEAKS CHARTER ACADEMY,Denver Metro,CO,Public School Physical Address,8013,80501
1651 AIRPORT ROAD,13,BOULDER,N,LONGMONT,470,ST VRAIN VALLEY RE 1J,8th Grade,6th Grade,3037723134,9430,WESTVIEW MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80503
655 SIR GALAHAD DRIVE,13,BOULDER,N,LAFAYETTE,480,BOULDER VALLEY RE 2,5th Grade,Preschool,7205617300,7592,ALICIA SANCHEZ INTERNATIONAL SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80026
1150 W  SOUTH BOULDER ROAD,13,BOULDER,N,LAFAYETTE,480,BOULDER VALLEY RE 2,8th Grade,6th Grade,7205617100,4878,ANGEVINE MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80026
6600 ARAPAHOE AVENUE,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,12th Grade,9th Grade,7205615220,125,ARAPAHOE RIDGE HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80303
5500 ASPEN CREEK DRIVE,14,BROOMFIELD,N,BROOMFIELD,480,BOULDER VALLEY RE 2,8th Grade,Preschool,7205618000,441,ASPEN CREEK K-8 SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
2500 TABLE MESA DRIVE,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,5th Grade,Kindergarten,7205613500,652,BEAR CREEK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80305
1035 BIRCH,14,BROOMFIELD,N,BROOMFIELD,480,BOULDER VALLEY RE 2,5th Grade,Preschool,7205618800,872,BIRCH ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
3995 EAST AURORA AVENUE,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,5th Grade,Kindergarten,7205616500,919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,Denver Metro,CO,Public School Physical Address,8013,80303
7690 EAST BASELINE RD,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,12th Grade,Kindergarten,7205615500,866,BOULDER EXPLORE,Denver Metro,CO,Public School Physical Address,8013,80303
1604 ARAPAHOE AVENUE,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,12th Grade,9th Grade,7205612200,924,BOULDER HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80302
5075 CHAPARRAL COURT #1,13,BOULDER,Y,BOULDER,480,BOULDER VALLEY RE 2,12th Grade,9th Grade,3035456186,934,BOULDER PREP CHARTER HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80301
6500 EAST ARAPAHOE ROAD,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,12th Grade,Kindergarten,7205616253,930,BOULDER UNIVERSAL,Denver Metro,CO,Public School Physical Address,8013,80303
1555 DAPHNE STREET,14,BROOMFIELD,N,BROOMFIELD,480,BOULDER VALLEY RE 2,8th Grade,6th Grade,7205618400,1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
1 EAGLE WAY,14,BROOMFIELD,N,BROOMFIELD,480,BOULDER VALLEY RE 2,12th Grade,9th Grade,7205618100,1070,BROOMFIELD HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
1301 HIGH STREET,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,8th Grade,6th Grade,7205612700,1352,CASEY MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80304
10300 SOUTH BOULDER ROAD,13,BOULDER,N,LAFAYETTE,480,BOULDER VALLEY RE 2,12th Grade,9th Grade,7205617500,1380,CENTAURUS HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80026
2205 NORWOOD AVENUE,13,BOULDER,N,BOULDER,480,BOULDER VALLEY RE 2,8th Grade,6th Grade,7205615441,1390,CENTENNIAL MIDDLE SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80304
801 WEST TAMARISK STREET,13,BOULDER,N,LOUISVILLE,480,BOULDER VALLEY RE 2,5th Grade,Kindergarten,7205614500,1725,COAL CREEK ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8013,80027
